key,Narration,Candidate
fake_0,RECEIVED TRANSFER DOPE VIRTUAL SYSTEMS,DVS - Purpose Transfer
fake_1,RECEIVED TRANSFER FLY HIGH AVIATION,Fly_high // Transaction
fake_2,RECEIVED TRANSFER RANGEEN FABRICS PVT LIMITED,RFPL - Fund Transfer
fake_3,RECEIVED TRANSFER VISION ELECTRONICS,VElectronics - Transaction Code
fake_4,RECEIVED TRANSFER PAVAN STEEL INDUSTRIES,PSI Transfer IN/0001
fake_5,RECEIVED TRANSFER GOGO GAMES,GGG - Transfer Receipt
fake_6,RECEIVED TRANSFER LEMON TECHNOLOGIES LIMITED,L01X025698574 /TRF/RCT//IN/000
fake_7,RECEIVED TRANSFER GALAXY COMPUTERS,Recvd Galaxy Comp - Processed
fake_8,RECEIVED TRANSFER LUMINOUS TECHNOLOGICAL SERVICES,LTS /TYPE/776/TFR
fake_9,RECEIVED TRANSFER MUMBAI ONLINE SERVICES,TRANS - Mumbai Online Services
fake_10,RECEIVED TRANSFER HAPPY HOME BAKERY,HHB Transfer Receipt
fake_11,RECEIVED TRANSFER JET FLASH COURIERS,JFC /TYPE/776/TRF//IN/000
fake_12,RECEIVED TRANSFER DEEP SKY TELECOM,Recvd DSTrmt
fake_13,RECEIVED TRANSFER PIXEL DESIGN STUDIOS,Received PDS Transfer
fake_14,RECEIVED TRANSFER INFINITY SYSTEMS LIMITED,InfinitySystemTransaction
fake_15,RECEIVED TRANSFER APEX FITNESS GYM,Apex Custom Transfers received
fake_16,RECEIVED TRANSFER KINGS ELECTRONICS,KElectric - Funds Rcvd
fake_17,RECEIVED TRANSFER ALIVE ANIMATIONS,Recvd Alive Transfer
fake_18,RECEIVED TRANSFER OPAL ENTERPRISES,Opal Ent - Transaction In
fake_19,RECEIVED TRANSFER GENOME HEALTH SOLUTIONS,Genome Health Trf
fake_20,RECEIVED TRANSFER NIAGARA FALLS TOURISM,NFT - Recvd TRANSFER
fake_21,RECEIVED TRANSFER DIAMOND JEWELER LIMITED,DiamondJL - Paid
fake_22,RECEIVED TRANSFER JADE TILE FACTORY,JTF - Transfer Processed
fake_23,RECEIVED TRANSFER SONY PLAYSTATION INTERACTIVE,PlayStationTransfer // SPSI
fake_24,RECEIVED TRANSFER ALPHA BRAVO CHARTERS,AB_Charter //Receipt//Transfer
fake_25,"('RECEIVED TRANSFER    SPARROW AVIATION SERVICES', 'Received from Sparrow Aviation')",
fake_26,"('RECEIVED TRANSFER AMIT NAGPAL', 'Received from Amit Nagpal for work done')",
fake_27,"('RECEIVED TRANSFER    BALAJI AIR CHARTERS', 'received from Balaji Air')",
fake_28,"('RECEIVED TRANSFER    SAURABH SINGH', '2127331116 /TYPE/776/RCVD TRF//CODE/IN/000//ORDP/1')",
fake_29,"('RECEIVED TRANSFER    AMAR AVIATION SERVICES', 'S121543844123 /TYPE/776/RCVD TRF//CODE/IN/000//ORD')",
